Type,Score
s-s,0.125
s-s,0.3333333333333333
s-s,0.5
s-s,1.0
s-s,0.42857142857142855
s-s,0.5
s-s,0.16666666666666666
s-s,0.25
s-s,0.3333333333333333
s-s,0.6666666666666666
s-s,0.25
s-s,0.6666666666666666
s-s,1.0
s-s,1.0
s-s,0.1
s-s,0.6363636363636364
s-s,0.14285714285714285
s-s,1.0
s-s,0.6666666666666666
s-s,0.5
s-s,1.0
s-s,1.0
s-s,1.0
s-s,0.5
s-s,1.0
s-s,0.5
s-s,1.0
s-s,0.5
s-s,1.0
s-s,0.6666666666666666
s-s,1.0
s-s,1.0
s-s,1.0
s-s,0.5
s-s,0.25
s-s,1.0
s-s,0.5
s-s,0.10526315789473684
s-s,1.0
s-s,1.0
s-s,0.5
s-s,0.25
s-s,0.6666666666666666
s-s,0.5
s-s,0.2
s-s,0.6666666666666666
s-s,1.0
s-s,1.0
s-s,0.3333333333333333
s-s,0.3333333333333333
s-s,0.6666666666666666
s-s,1.0
s-s,1.0
s-s,1.0
s-s,0.5
s-s,1.0
s-s,0.5
s-s,1.0
s-s,1.0
s-s,1.0
s-s,0.25
s-s,0.6666666666666666
s-s,0.5
s-s,0.5
s-s,0.3333333333333333
s-s,1.0
s-s,0.5
s-s,0.5
s-s,0.5
s-s,1.0
s-s,0.5
s-s,1.0
s-s,1.0
s-s,1.0
s-s,0.25
s-s,1.0
s-s,0.3333333333333333
s-s,0.1111111111111111
s-s,0.14285714285714285
s-s,0.3333333333333333
s-s,0.14285714285714285
s-s,0.5
s-s,0.3333333333333333
s-s,0.5
s-s,0.3333333333333333
s-s,0.16666666666666666
s-s,0.3333333333333333
s-s,1.0
s-s,1.0
s-s,0.5
s-s,1.0
s-s,0.5
s-s,0.5
s-s,0.25
s-s,1.0
s-s,1.0
s-s,0.5
s-s,0.6666666666666666
s-s,0.3333333333333333
s-s,1.0
s-s,1.0
s-s,0.5
s-s,1.0
s-s,1.0
s-s,0.5
s-s,1.0
s-s,0.5
s-s,1.0
s-s,1.0
s-s,1.0
s-s,1.0
s-s,1.0
s-s,1.0
s-s,0.3333333333333333
s-s,1.0
s-s,1.0
s-s,0.5
s-s,1.0
s-s,0.5
s-s,0.3333333333333333
s-s,1.0
s-s,0.5
s-s,0.5
s-s,1.0
